code,amount 
OP13-004,1
OP13-008,2
ST35-001,4
OP13-017,4
OP13-081,4
OP12-093,4
ST35-005,4
ST35-004,4
OP12-090,4
OP13-005,4
ST35-002,4
ST35-003,4
OP13-019,2
P-105,4
OP12-098,2
,51
