code,amount 
OP16-022,1
OP16-045,4
OP16-038,3
OP02-068,1
OP16-042,1
OP16-027,1
OP16-054,4
OP16-055,4
OP16-034,4
OP05-057,2
OP11-061,2
OP15-032,2
OP16-026,3
OP16-032,4
OP16-048,4
OP13-040,2
OP16-056,4
ST30-014,2
